rowid,variable,value,x,y
col8a1b,s4d.mecpM1,0.660129344135028,16,623
adarb1b,s4d.mecpM1,-0.029335326449601906,16,449
hsp90b1,s4d.mecpM1,0.6055797890071981,16,840
rpl3,s4d.mecpM1,0.07149132934775888,16,2096
clockb,s4d.mecpM1,0.08034808607435019,16,1929
runx1t1,s4d.mecpM1,0.2789571782818979,16,1763
prkag1,s4d.mecpM1,0.2530498779389608,16,325
rrs1,s4d.mecpM1,0.2580996778742389,16,1100
trim35.13,s4d.mecpM1,-0.9847071345857721,16,NA
crhr1,s4d.mecpM1,0.8904404111571073,16,36
arhgdig,s4d.mecpM1,0.18793744993038947,16,798
marcksa,s4d.mecpM1,0.4849982339956942,16,2027
mvk,s4d.mecpM1,0.9307746869830603,16,551
ik,s4d.mecpM1,0.34757762129280784,16,1930
stmn1a,s4d.mecpM1,-0.3572205222793061,16,1556
tnfsf10l,s4d.mecpM1,0.21782324837162925,16,53
tmed9,s4d.mecpM1,0.25043776799168593,16,825
ambp,s4d.mecpM1,-1.0168938612501681,16,2256
spra,s4d.mecpM1,-0.3097600033233942,16,62
nabp1a,s4d.mecpM1,0.5429072786761658,16,631
mad2l1,s4d.mecpM1,-0.2286542932847334,16,1463
zgc.100868,s4d.mecpM1,0.709748461672813,16,NA
mylkb,s4d.mecpM1,0.4991879474927478,16,237
hspa4a,s4d.mecpM1,-0.05246922436475097,16,1106
psen1,s4d.mecpM1,0.2802069929364963,16,265
acsm3,s4d.mecpM1,-0.3352971859529994,16,266
pex19,s4d.mecpM1,0.44420480985309374,16,392
lmo7a,s4d.mecpM1,0.06963793628978056,16,1916
mtdhb,s4d.mecpM1,0.2576772140229157,16,2232
cyp4t8,s4d.mecpM1,0.8541334479290482,16,2330
dimt1l,s4d.mecpM1,-0.6098783571682451,16,590
ncapd2,s4d.mecpM1,-0.6210669464119659,16,1439
zgc.86764,s4d.mecpM1,-0.4757806961708039,16,NA
oclna,s4d.mecpM1,0.48409573951740364,16,878
calub,s4d.mecpM1,-0.21378818515300918,16,661
atp2a2b,s4d.mecpM1,0.13005383917943408,16,1133
psmd11b,s4d.mecpM1,-0.08805633916063171,16,688
aspa,s4d.mecpM1,0.16248870457695425,16,2068
cyth1a,s4d.mecpM1,1.8542209852581972,16,444
zgc.101040,s4d.mecpM1,1.1029360131785828,16,NA
dglucy,s4d.mecpM1,-0.37525900645423804,16,2244
zc3h12a,s4d.mecpM1,-0.283965851423258,16,963
gprc6a,s4d.mecpM1,-0.1873131086658485,16,1658
map3k5,s4d.mecpM1,0.41972832622243783,16,386
tacc3,s4d.mecpM1,-0.5099170206580744,16,1486
kif4,s4d.mecpM1,-0.4632152115479136,16,1865
gfm2,s4d.mecpM1,0.7798762108017482,16,943
entpd8,s4d.mecpM1,0.055481723404716805,16,2299
aph1b,s4d.mecpM1,0.23510572932656726,16,650
bfb,s4d.mecpM1,0.6607886928184641,16,787
slc25a23a,s4d.mecpM1,0.6680582423907561,16,76
eps8l3b,s4d.mecpM1,0.5962830646652835,16,768
tsr2,s4d.mecpM1,0.3022186008101657,16,994
prc1b,s4d.mecpM1,-0.6756135892977632,16,1474
rad21a,s4d.mecpM1,0.30085283687302805,16,1931
star,s4d.mecpM1,1.707249693849847,16,478
waslb,s4d.mecpM1,-0.19947835305492398,16,260
ugt5c2,s4d.mecpM1,-0.8750931637956811,16,1275
nrcama,s4d.mecpM1,0.32418693737423726,16,1927
polr1e,s4d.mecpM1,0.11497007732653973,16,1120
brd3a,s4d.mecpM1,0.4306256541298065,16,1923
zgc.111983,s4d.mecpM1,0.768530699558066,16,NA
csrp1a,s4d.mecpM1,0.12594298276186067,16,121
map2k2a,s4d.mecpM1,0.5163691157106186,16,52
napga,s4d.mecpM1,0.3915791164269924,16,329
bud13,s4d.mecpM1,-0.22123854327498615,16,2249
glra4a,s4d.mecpM1,1.3710533301234322,16,530
trh,s4d.mecpM1,0.15535267860483642,16,597
lrp5,s4d.mecpM1,-0.45612480750574,16,72
mrto4,s4d.mecpM1,-0.11916999540579941,16,1093
l1cama,s4d.mecpM1,0.21072630283349356,16,2230
plxna3,s4d.mecpM1,-0.9516821775633515,16,2014
pbk,s4d.mecpM1,-0.2201946446257462,16,1540
chmp4bb,s4d.mecpM1,-0.030910430047891475,16,826
dmrt1,s4d.mecpM1,0.27258111785892036,16,1152
