Symbol,s4d.mecpW1,s4d.mecpW10,s4d.mecpW2,s4d.mecpW3,s4d.mecpW4,s4d.mecpW5,s4d.mecpW6,s4d.mecpW7,s4d.mecpW8,s4d.mecpW9,s4d.mecpM1,s4d.mecpM10,s4d.mecpM2,s4d.mecpM3,s4d.mecpM4,s4d.mecpM5,s4d.mecpM6,s4d.mecpM7,s4d.mecpM8,s4d.mecpM9
cngb1a,1.36313276449818,2.84663625760474,-0.14763013992108,1.79835426845477,-0.760591058758664,4.19333371183624,2.34851009737796,1.90953268188421,-4.38753278555996,-0.77662145963407,2.11382901369074,-1.95818588166789,4.05262795250851,-5.13774224628938,1.78163243795141,1.0068186747494,-2.17886663721334,-5.4718195559503,-1.88655798498847,-0.708860110572987
rho,2.02401983754794,4.9463259560045,-0.0109962960729689,2.60107505852039,-2.16023542688854,9.466060143124,2.08010567512742,0.546298798334549,-5.27318392744532,-4.04668468598679,1.8622836790301,0.358654473588698,6.70023423729905,-7.4416349905786,5.73710889390319,3.35746950317936,-2.38794729615633,-12.7867521974146,-1.46299164536533,-4.1092097897507
pde6a,0.687525906575793,4.05621710920556,-0.537310712508403,1.35156364442783,0.708311284638629,5.54019967228005,2.16488378117563,3.63355727890452,-5.49657366818434,-2.16124725281024,1.66858292327486,-2.2519255832957,5.02633209271987,-6.6080525723603,3.75591916428884,1.45694079607109,-2.02833171157653,-7.37445835717144,-0.38591226767829,-3.20622152797743
gnat1,0.895242476343035,4.20812161712337,-1.49391828583031,0.555342854400903,2.34426462652143,6.19149963048799,3.67847614823724,2.59227574854438,-6.47463612620378,-1.42561041178565,1.25370828488884,-1.50984718569577,5.59507714833558,-6.96660707619627,4.48386958516132,1.97000782671539,-2.80071795443995,-11.847758134349,0.386710197621338,-1.63550096988004
gucy2f,0.726631106723907,1.61429761739197,-0.772452227219493,0.59828155866387,-1.10084581637165,2.08764857919105,3.26534517500559,0.847894261805668,-4.10269803255223,-0.707454728161002,1.18393366352159,-0.0785001445391568,5.06019576041114,-4.79620027560716,0.824625095036012,2.63971189411326,-1.33512285811496,-5.05603928019768,-0.174152051327537,-0.72509929777318
slc24a1,0.0375432490464188,1.95224895041378,-0.262802743324931,1.16384072043898,0.525605486649863,1.16384072043898,0.788408229974794,0.675778482835538,-1.38910021471749,-0.525605486649863,0.225259494278513,-0.563148735696282,0.938581226160469,-1.31401371662466,-0.337889241417769,0.30034599237135,-0.901037977114051,-2.17750844469229,-0.337889241417769,0.0375432490464188
guca1a,1.72568304124487,2.2245319351633,0.63556399146715,5.50109455929821,-0.398946248559411,3.03730867615786,3.58453788531637,4.56411639260606,-6.39695375388235,-1.94639325635943,3.5408766775432,-1.63896946815509,7.1348123687105804,-9.76912609387124,7.83613997581615,1.03378107121707,-2.43511965092405,-12.6428839884557,0.101920032962498,-5.69197414729607
rcvrn2,0.979966060340113,1.17703806937404,0.229110758800318,0.110544284424724,-1.97112000611306,2.05697304950829,0.112796906521407,1.71901350054845,-4.00561648298607,-1.74786324345654,2.75900065476681,-2.36245030235491,6.22769943386944,-3.97408899881669,3.97933945877112,2.62542418860232,-1.03652353843654,-7.99427433914,0.624403212405841,0.490627333370924
grk7b,2.41996071017927,3.50831454567255,-0.115294663675056,0.875206443196779,-0.379145902167454,2.50353569228659,4.490178835252,2.33744245095586,-5.25505656736025,-0.810154070249287,1.13288755942016,-1.98649131637307,7.11784623083596,-5.69925114564207,3.54391617808407,0.873960372121042,-2.50629675690723,-7.49367037830528,-2.56806791053014,-1.98982030679444
saga,0.350858084756023,1.10245281354205,-0.113764111220794,1.17077960706805,-0.2709157363306,1.17761228642065,0.958966547137445,0.234702535761819,-1.73310911778705,-0.612549703960612,0.0843835900046132,-0.728705252954816,1.53291161275587,-1.70577840037665,0.856476356848441,0.576336503391831,-0.318744491798801,-1.78093787325525,-0.496394154966408,-0.2845810950358
rgs9a,0.990408369466552,1.57243923075495,0.120295872431527,-0.764674986996451,0.175943659993964,1.95052273329666,1.62893882720438,1.22539741141249,-1.89154361673281,-0.650067015838187,0.899365480553775,-0.222581858440171,2.24532376772542,-2.64042335054279,2.42750415216632,0.863118686766063,-1.68409453227243,-5.2736635611363,0.357745501523854,-1.32995477133683
calm2b,-0.914213355014013,-0.886995537631676,-1.22055356297372,-8.79360730975275,0.412637222014723,4.25592283718685,2.08473102962892,4.6787375857491,-1.64919977276257,-4.9421746874781904,1.88999445196494,1.21551626713571,8.01124377686392,-7.47287450343319,10.6443092678884,1.57446628617011,1.18083786164525,-19.1111295820017,9.96565643364835,-0.923304708848413
