NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
SNORD30	1	SNORD30	
ENKD1	1	ENKD1	
CCDC134	1	CCDC134	
GGT7	1	GGT7	
WSCD1	1	WSCD1	
LRRC75A	1	LRRC75A	
CACFD1	1	CACFD1	
KLHL28	1	KLHL28	
HOOK3	1	HOOK3	
ACSF3	1	ACSF3	
CAMSAP3	1	CAMSAP3	
TMEM114	1	TMEM114	
TMEM235	1	TMEM235	
LIN28A	1	LIN28A	
TP53I3	1	TP53I3	
FAM163B	1	FAM163B	
FAM163A	1	FAM163A	
JMY	1	JMY	
GNB4	1	GNB4	
NABP2	1	NABP2	
UBE2O	1	UBE2O	
TCF4	1	TCF4	
SNORD21	1	SNORD21	
SLC35E2A	1	SLC35E2A	
UBE2M	1	UBE2M	
DOCK4	1	DOCK4	
MCUR1	1	MCUR1	
ABCD2	1	ABCD2	
DOCK9	1	DOCK9	
USP34	1	USP34	
MIR96	1	MIR96	
RERG	1	RERG	
PITPNC1	1	PITPNC1	
INSYN2A	1	INSYN2A	
TTC28	1	TTC28	
GRM7	1	GRM7	
LRRTM4	1	LRRTM4	
SNORD57	1	SNORD57	
MFSD3	1	MFSD3	
SNORD54	1	SNORD54	
GFUS	1	TSTA3	
SCARF2	1	SCARF2	
COLGALT1	1	COLGALT1	
SCYL2	1	SCYL2	
SNTA1	1	SNTA1	
PSTK	1	PSTK	
DNAI3	1	WDR63	
ARHGEF17	1	ARHGEF17	
RNF208	1	RNF208	
NAV1	1	NAV1	
TENT5A	1	TENT5A	
HPDL	1	HPDL	
FCHSD2	1	FCHSD2	
GFOD1	1	GFOD1	
MIR363	1	MIR363	
TMEM216	1	TMEM216	
SNORD46	1	SNORD46	
RASA2	1	RASA2	
CDH18	1	CDH18	
FAM72B	1	FAM72B	
COLEC10	1	COLEC10	
RGS13	1	RGS13	
RAP1GDS1	1	RAP1GDS1	
NRXN2	1	NRXN2	
RNF5	1	RNF5	
H2BK1	1	H2BE1	
SPATA48	1	SPATA48	
PRRG3	1	PRRG3	
CYTH2	1	CYTH2	
ACVR1C	1	ACVR1C	
GNG4	1	GNG4	
SH3TC1	1	SH3TC1	
LEPROTL1	1	LEPROTL1	
GNA12	1	GNA12	
MAN1C1	1	MAN1C1	
SLIT3	1	slit2	
SPEN	1	SPEN	
ATE1	1	ATE1	
GALNT3	1	GALNT3	
B3GAT1	1	B3GAT1	
SGPP2	1	SGPP2	
WARS1	1	WARS1	
GOLPH3	1	GOLPH3	
RSPH1	1	RSPH1	
TCIM	1	TCIM	
SHLD2	1	SHLD2	
CDK2AP1	1	CDK2AP1	
