NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
VIT	1	VIT	
CLPB	1	CLPB	
TMEM200C	1	TMEM200C	
TESK1	1	TESK1	
GPATCH2	1	GPATCH2	
TPGS1	1	TPGS1	
HTR7	1	HTR7	
PSMD4	1	PSMD4	
EVA1A	1	EVA1A	
MPRIP	1	MPRIP	
MSANTD2	1	MSANTD2	
SNORA38	1	SNORA38	
PSMD2	1	PSMD2	
IGLON5	1	IGLON5	
ZC3H12A	1	ZC3H12A	
NAMPT	1	NAMPT	
AP1S2	1	AP1S2	
SNORD97	1	SNORD97	
MTERF1	1	MTERF1	
SAMD12	1	SAMD12	
EARS2	1	EARS2	
SNORA31	1	SNORA31	
TMEM8B	1	TMEM8B	
CMKLR1	1	CMKLR1	
DDX17	1	DDX17	
UNC13B	1	UNC13B	
TSTD1	1	TSTD1	
NHLRC3	1	NHLRC3	
CACNA2D1	1	CACNA2D1	
DHDH	1	DHDH	
CACNA2D3	1	CACNA2D3	
MED9	1	MED9	
UNC5C	1	UNC5C	
GTPBP8	1	GTPBP8	
ATG14	1	ATG14	
EML4	1	EML4	
EML5	1	EML5	
SLC5A7	1	SLC5A7	
EML6	1	EML6	
ARMC6	1	ARMC6	
PARD3	1	PARD3	
FEZ2	1	FEZ2	
ANOS1	1	ANOS1	
FAR2	1	FAR2	
SNORD82	1	SNORD82	
RNF122	1	RNF122	
PLBD2	1	PLBD2	
ZNF276	1	ZNF276	
RETSAT	1	RETSAT	
CTBP1	1	CTBP1	
PRDM15	1	PRDM15	
HACD4	1	HACD4	
WDR70	1	WDR70	
NUP85	1	NUP85	
PRKAR2B	1	PRKAR2B	
STMP1	1	STMP1	
EPB41L2	1	EPB41L2	
SYNDIG1	1	SYNDIG1	
CHST13	1	CHST13	
NCKAP1L	1	NCKAP1L	
SNORA55	1	SNORA55	
CDK18	1	CDK18	
SNORD6	1	SNORD6	
DNAH10	1	DNAH10	
SRMS	1	SRMS	
MTERF4	1	MTERF4	
EIF2AK4	1	EIF2AK4	
GRIN2B	1	GRIN2B	
PRRC2B	1	PRRC2B	
FAM135B	1	FAM135B	
RNF224	1	RNF224	
GPR180	1	GPR180	
FNDC10	1	FNDC10	
ATG2A	1	ATG2A	
GALNTL6	1	GALNTL6	
FAT4	1	FAT4	
XKR4	1	XKR4	
CFAP77	1	CFAP77	
MAJIN	1	MAJIN	
GABRB2	1	GABRB2	
SNORA81	1	SNORA81	
GMEB2	1	GMEB2	
TCF24	1	TCF24	
ARHGAP6	1	ARHGAP6	
RNF157	1	RNF157	
PCMTD2	1	PCMTD2	
SNORA7A	1	SNORA7A	
JPH3	1	JPH3	
ELOB	1	ELOB	
BMERB1	1	BMERB1	
SNORA77	1	SNORA77	
SLC18A1	1	SLC18A1	
GARNL3	1	GARNL3	
CHST8	1	CHST8	
TMC1	1	TMC1	
SPHK1	1	SPHK1	
SLC2A13	1	SLC2A13	
SLC39A11	1	SLC39A11	
MRPL49	1	MRPL49	
WDR31	1	WDR31	
TIMM22	1	TIMM22	
MANEAL	1	MANEAL	
TIMM21	1	TIMM21	
ELAPOR2	1	ELAPOR2	
COQ10A	1	COQ10A	
ELAPOR1	1	ELAPOR1	
GJD2	1	GJD2	
SIKE1	1	SIKE1	
MRAS	1	MRAS	
PLCB4	1	PLCB4	
KCNMA1	1	KCNMA1	
SNORA69	1	SNORA69	
SLC29A4	1	SLC29A4	
PIGG	1	PIGG	
PLCB1	1	PLCB1	
PLCB2	1	PLCB2	
MDFI	1	MDFI	
RAPGEF4	1	RAPGEF4	
SAMD5	1	SAMD5	
SCARNA13	1	SCARNA13	
SCARNA14	1	SCARNA14	
SCARNA11	1	SCARNA11	
GPR45	1	GPR45	
SLC7A1	1	SLC7A1	
TMEM164	1	TMEM164	
GPR151	1	GPR151	
METTL21C	1	METTL21C	
RASSF10	1	RASSF10	
H3C13	1	H3C13	
MFN1	1	MFN1	
FLNB	1	FLNB	
STX3	1	STX3	
ANKRD50	1	ANKRD50	
SPDEF	1	SPDEF	
ZNF462	1	ZNF462	
RIC1	1	RIC1	
P2RY14	1	P2RY14	
KCNB2	1	KCNB2	
ANKRD66	1	ANKRD66	
SAMD4B	1	SAMD4B	
PRSS35	1	PRSS35	
MIR199B	1	MIR199B	
MZT1	1	MZT1	
TMEM275	1	TMEM275	
FIG4	1	FIG4	
GID4	1	GID4	
SLCO3A1	1	SLCO3A1	
SHKBP1	1	SHKBP1	
RIMBP2	1	RIMBP2	
PKN2	1	PKN2	
ZNF335	1	ZNF335	
ADGRL2	1	ADGRL2	
ADGRL3	1	ADGRL3	
DGKD	1	DGKD	
ATP8A1	1	ATP8A1	
GPR68	1	GPR68	
ZBTB26	1	ZBTB26	
FAM107A	1	FAM107A	
LTN1	1	LTN1	
SLA	1	SLA	
F13A1	1	F13A1	
SAT2	1	SAT2	
LAMP5	1	LAMP5	
RIMS2	1	RIMS2	
EFEMP1	1	EFEMP1	
GRB14	1	GRB14	
FADS6	1	FADS6	
IYD	1	IYD	
SLC16A6	1	SLC16A6	
SLC16A7	1	SLC16A7	
CIR1	1	CIR1	
MB21D2	1	MB21D2	
MINAR1	1	MINAR1	
KCNH4	1	elk1	
AREL1	1	AREL1	
KCNH8	1	elk3	
MAGI3	1	MAGI3	
F2R	1	F2R	
ATP11B	1	ATP11B	
FRMD4A	1	FRMD4A	
VASH1	1	VASH1	
TC2N	1	TC2N	
SRCIN1	1	SRCIN1	
MDFIC2	1	MDFIC2	
FRMD1	1	FRMD1	
SLC9B2	1	SLC9B2	
VMAC	1	VMAC	
TOM1L2	1	TOM1L2	
DISP3	1	DISP3	
FRMD5	1	FRMD5	
FRMD7	1	FRMD7	
DMWD	1	DMWD	
RAB35	1	RAB35	
DGKI	1	DGKI	
LRRC56	1	LRRC56	
KHDRBS3	1	KHDRBS3	
SHC3	1	SHC3	
RNF180	1	RNF180	
SPATA1	1	SPATA1	
FBXO48	1	FBXO48	
FBXO46	1	FBXO46	
AK6	1	AK6	
RAP1GAP	1	RAP1GAP	
PHF21B	1	PHF21B	
NPAS3	1	NPAS3	
HMBOX1	1	HMBOX1	
SBNO2	1	SBNO2	
AMDHD1	1	AMDHD1	
G3BP2	1	G3BP2	
PLXNA1	1	PLXNA1	
TPPP	1	TPPP	
THEM6	1	THEM6	
ZNF423	1	ZNF423	
SLC15A5	1	SLC15A5	
TMEM132D	1	TMEM132D	
COA4	1	COA4	
OSBPL8	1	OSBPL8	
TMEM132C	1	TMEM132C	
RASL10B	1	RASL10B	
TRAPPC9	1	TRAPPC9	
FOXN2	1	FOXN2	
B3GALT9	1	B3GNT10	
LSM2	1	LSM2	
PTPRD	1	PTPRD	
KIAA1755	1	quo	
BFSP1	1	BFSP1	
UBLCP1	1	UBLCP1	
LHX3	1	LHX3	
UST	1	UST	
TADA1	1	TADA1	
MAP3K13	1	MAP3K13	
TMEM19	1	TMEM19	
MAP3K11	1	MAP3K11	
GDPGP1	1	GDPGP1	
OSCP1	1	OSCP1	
ZNF512B	1	ZNF512B	
WDR1	1	WDR1	
BNC1	1	BNC1	
MCMDC2	1	MCMDC2	
RASGRF1	1	RASGRF1	
HUS1B	1	HUS1B	
GPR89B	1	GPR89B	
BICD2	1	BICD2	
GM2A	1	GM2A	
RPPH1-2P	1	RPPH1-2P	
TAGAP	1	TAGAP	
CEP170B	1	CEP170B	
PRLHR	1	PRLHR	
WDR7	1	WDR7	
ERC1	1	ERC1	
SMIM10	1	SMIM10	
TNPO2	1	TNPO2	
ZNF521	1	ZNF521	
METTL18	1	METTL18	
ADAMTS7	1	ADAMTS7	
TRIM67	1	TRIM67	
CCDC39	1	CCDC39	
DST	1	DST	
SMIM18	1	SMIM18	
FOXL3	1	FOXL3	
DUSP26	1	DUSP26	
TST	1	TST	
MEP1B	1	MEP1B	
PKHD1L1	1	PKHD1L1	
VSTM2A	1	VSTM2A	
VSTM2B	1	VSTM2B	
PLEKHH3	1	PLEKHH3	
MTFP1	1	MTFP1	
SRBD1	1	SRBD1	
NDUFB1	1	NDUFB1	
FOXK2	1	FOXK2	
SLC5A10	1	SLC5A10	
TULP1	1	TULP1	
CLEC3A	1	CLEC3A	
SLC25A29	1	SLC25A29	
CNNM1	1	CNNM1	
ASTE1	1	ASTE1	
HECTD4	1	HECTD4	
MGAT5B	1	MGAT5B	
BEND4	1	BEND4	
SH2B2	1	SH2B2	
ATP9A	1	ATP9A	
SMIM36	1	SMIM36	
SPAG9	1	SPAG9	
KCNJ6	1	KCNJ6	
MCOLN3	1	MCOLN3	
KCNIP1	1	KCNIP1	
KCNIP4	1	KCNIP4	
PCDH8	1	PCDH8	
KCNJ15	1	KCNJ15	
MSMP	1	MSMP	
SGCZ	1	SGCZ	
ASS1	1	ASS1	
MYO1D	1	MYO1D	
MFAP4	1	MFAP4	
EIF3J	1	EIF3J	
RUNDC1	1	RUNDC1	
RAB19	1	RAB19	
INSM2	1	INSM2	
SLC46A3	1	SLC46A3	
NPFFR2	1	NPFFR2	
CPNE8	1	CPNE8	
RFESD	1	RFESD	
PLEKHB1	1	PLEKHB1	
SYNPR	1	SYNPR	
RPS17	1	RPS17	
ERFL	1	erfl1	
RASSF4	1	RASSF4	
ANPEP	1	ANPEP	
RASSF5	1	RASSF5	
FAM53C	1	FAM53C	
EPHB3	1	EPHB3	
DYNC2H1	1	DYNC2H1	
PAQR9	1	PAQR9	
SFMBT1	1	SFMBT1	
KCNK12	1	KCNK12	
SLC6A13	1	SLC6A13	
MTUS2	1	MTUS2	
JMJD8	1	JMJD8	
MAPK8IP1	1	MAPK8IP1	
PYURF	1	PYURF	
MARF1	1	MARF1	
TCERG1L	1	TCERG1L	
BOLA2	1	BOLA2	
DXO	1	DXO	
RIN2	1	RIN2	
KCTD15	1	KCTD15	
GK3P	1	GK3P	
SLC45A4	1	SLC45A4	
TMEM87B	1	TMEM87B	
GARRE1	1	GARRE1	
CRACD	1	CRACD	
SNORD11B	1	SNORD11B	
SLC35D3	1	SLC35D3	
TXN	1	TXN	
APCDD1	1	APCDD1	
CRHR2	1	CRHR2	
SEC14L1	1	SEC14L1	
DHX35	1	DHX35	
ZNF821	1	ZNF821	
RALGDS	1	RALGDS	
ARSB	1	ARSB	
H4C7	1	H4C7	
IQSEC1	1	IQSEC1	
XRCC2	1	XRCC2	
SMARCA4	1	SMARCA4	
NDUFAF8	1	NDUFAF8	
NCEH1	1	NCEH1	
SCARNA6	1	SCARNA6	
KYAT3	1	KYAT3	
TMCC1	1	TMCC1	
SHISAL2A	1	SHISAL2A	
CC2D1A	1	CC2D1A	
TMEM151A	1	TMEM151A	
RYR2	1	RYR2	
TENM2	1	TENM2	
TENM3	1	TENM3	
CSRNP3	1	CSRNP3	
CTSZ	1	CTSZ	
MRPS12	1	MRPS12	
OTUD7A	1	OTUD7A	
GRIK2	1	GRIK2	
SERP2	1	SERP2	
GABRR1	1	GABRR1	
SERP1	1	SERP1	
XPO1	1	emb	
CCKAR	1	CCKAR	
XPO5	1	XPO5	
KIF1C	1	KIF1C	
RAC1	1	RAC1	
UTP14C	1	UTP14C	
SBSPON	1	SBSPON	
PRMT8	1	PRMT8	
GAA	1	GAA	
TSC22D3	1	TSC22D3	
SNORD42B	1	SNORD42B	
SLC35G1	1	SLC35G1	
ANO7	1	ANO7	
SORCS3	1	SORCS3	
MIR19A	1	MIR19A	
AP3B2	1	AP3B2	
ANKFN1	1	ANKFN1	
CDCP1	1	CDCP1	
MDFIC	1	MDFIC	
KIF2A	1	KIF2A	
CCKBR	1	CCKBR	
GAN	1	GAN	
NFX1	1	NFX1	
MMP23B	1	MMP23B	
PITPNM2	1	PITPNM2	
RAMP3	1	RAMP3	
MACIR	1	MACIR	
SLC66A2	1	SLC66A2	
COX5B	1	COX5B	
RNU6-959P	1	RNU6-959P	
PDPR	1	PDPR	
EGFLAM	1	EGFLAM	
CAMK2N1	1	CAMK2N1	
RANBP2	1	RANBP2	
UBL4A	1	UBL4A	
GCA	1	GCA	
SUSD2	1	SUSD2	
YIPF5	1	YIPF5	
MYO9B	1	MYO9B	
OTOP1	1	OTOP1	
PPP1CA	1	PPP1CA	
SH3RF3	1	SH3RF3	
PDCL3	1	PDCL3	
TTC9	1	TTC9	
ERG28	1	ERG28	
XK	1	NA	
CSDC2	1	CSDC2	
AXL	1	AXL	
LHFPL6	1	LHFPL6	
APBA3	1	APBA3	
RAMP1	1	RAMP1	
SIPA1	1	SIPA1	
F2RL3	1	F2RL3	
RTKN	1	RTKN	
GALNT10	1	GALNT10	
SYDE2	1	SYDE2	
TATDN3	1	TATDN3	
SYDE1	1	SYDE1	
CSKMT	1	CSKMT	
MIR150	1	MIR150	
SNORD10	1	SNORD10	
PAMR1	1	PAMR1	
KIRREL3	1	KIRREL3	
GUCY1A2	1	GUCY1A2	
ACOT12	1	ACOT12	
CDPF1	1	CDPF1	
CARTPT	1	CARTPT	
CCNB1IP1	1	CCNB1IP1	
RSBN1	1	RSBN1	
TANC2	1	TANC2	
PCP4	1	PCP4	
RGS9BP	1	RGS9BP	
ADAM12	1	ADAM12	
MYADM	1	MYADM	
ISCU	1	ISCU	
GNAZ	1	GNAZ	
USP53	1	USP53	
UBA6	1	UBA6	
ARHGEF25	1	ARHGEF25	
HTRA3	1	HTRA3	
YTHDC2	1	YTHDC2	
CABP4	1	CABP4	
HTRA2	1	HTRA2	
COX7A2	1	COX7A2	
KLHL12	1	KLHL12	
RASGRP2	1	RASGRP2	
MCHR2	1	MCHR2	
ARHGAP22	1	ARHGAP22	
KCNV1	1	KCNV1	
PDZD4	1	PDZD4	
CALHM1	1	CALHM1	
MYG1	1	MYG1	
UBB	1	UBB	
NPC1L1	1	NPC1L1	
CYTL1	1	CYTL1	
MARK4	1	MARK4	
