NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
GOBP_MITOCHONDRIAL_RNA_METABOLIC_PROCESS	50		Rejected!	
GOBP_REGULATION_OF_MITOCHONDRIAL_RNA_CATABOLIC_PROCESS	5		Rejected!	
GOBP_MITOCHONDRIAL_RNA_PROCESSING	20		Rejected!	
GOBP_MITOCHONDRIAL_RNA_3_END_PROCESSING	5		Rejected!	
GOBP_RNA_5_END_PROCESSING	23		Rejected!	
GOBP_RRNA_5_END_PROCESSING	5		Rejected!	
GOBP_TRANSCRIPTION_DEPENDENT_TETHERING_OF_RNA_POLYMERASE_II_GENE_DNA_AT_NUCLEAR_PERIPHERY	6		Rejected!	
GOBP_RESPONSE_TO_ACID_CHEMICAL	133		Rejected!	
GOBP_RNA_POLYMERASE_I_PREINITIATION_COMPLEX_ASSEMBLY	11		Rejected!	
GOBP_FORMATION_OF_EXTRACHROMOSOMAL_CIRCULAR_DNA	15		Rejected!	
GOBP_GUANINE_NUCLEOTIDE_TRANSPORT	8		Rejected!	
GOBP_SKELETAL_SYSTEM_DEVELOPMENT	540		Rejected!	
GOBP_OSSIFICATION	428		Rejected!	
GOBP_NEUROTRANSMITTER_UPTAKE	44		Rejected!	
GOBP_REGULATION_OF_NEUROTRANSMITTER_LEVELS	220		Rejected!	
GOBP_ACTION_POTENTIAL	146		Rejected!	
GOBP_RNA_METHYLATION	90		Rejected!	
GOBP_PSEUDOURIDINE_SYNTHESIS	18		Rejected!	
GOBP_CILIUM_OR_FLAGELLUM_DEPENDENT_CELL_MOTILITY	159		Rejected!	
GOBP_OVARIAN_FOLLICLE_DEVELOPMENT	58		Rejected!	
GOBP_OVULATION_FROM_OVARIAN_FOLLICLE	10		Rejected!	
GOBP_ANTRAL_OVARIAN_FOLLICLE_GROWTH	10		Rejected!	
GOBP_LUTEINIZATION	12		Rejected!	
GOBP_LUTEOLYSIS	7		Rejected!	
GOBP_OOCYTE_MATURATION	30		Rejected!	
GOBP_FATTY_ACID_ALPHA_OXIDATION	7		Rejected!	
GOBP_RESPONSE_TO_PROTOZOAN	28		Rejected!	
GOBP_BRANCHING_INVOLVED_IN_BLOOD_VESSEL_MORPHOGENESIS	36		Rejected!	
GOBP_VASCULOGENESIS	81		Rejected!	
GOBP_GANGLIOSIDE_METABOLIC_PROCESS	27		Rejected!	
GOBP_GANGLIOSIDE_BIOSYNTHETIC_PROCESS	17		Rejected!	
GOBP_MICROTUBULE_BUNDLE_FORMATION	125		Rejected!	
GOBP_OSTEOBLAST_DIFFERENTIATION	246		Rejected!	
GOBP_UROGENITAL_SYSTEM_DEVELOPMENT	361		Rejected!	
GOBP_METANEPHROS_DEVELOPMENT	92		Rejected!	
GOBP_TEMPERATURE_HOMEOSTASIS	178		Rejected!	
GOBP_FEVER_GENERATION	11		Rejected!	
GOBP_AMEBOIDAL_TYPE_CELL_MIGRATION	495		Rejected!	
GOBP_ACROSOME_ASSEMBLY	23		Rejected!	
GOBP_LONG_CHAIN_FATTY_ACID_METABOLIC_PROCESS	111		Rejected!	
GOBP_CELLULAR_GLUCOSE_HOMEOSTASIS	159		Rejected!	
GOBP_TRNA_5_LEADER_REMOVAL	13		Rejected!	
GOBP_HISTAMINE_METABOLIC_PROCESS	6		Rejected!	
GOBP_GASTRIC_ACID_SECRETION	18		Rejected!	
GOBP_IN_UTERO_EMBRYONIC_DEVELOPMENT	395		Rejected!	
GOBP_GASTRULATION_WITH_MOUTH_FORMING_SECOND	28		Rejected!	
GOBP_FORMATION_OF_PRIMARY_GERM_LAYER	127		Rejected!	
GOBP_ENDODERM_FORMATION	58		Rejected!	
GOBP_CELL_FATE_SPECIFICATION	109		Rejected!	
GOBP_CELL_FATE_DETERMINATION	44		Rejected!	
GOBP_MESODERMAL_CELL_FATE_COMMITMENT	18		Rejected!	
GOBP_ENDODERMAL_CELL_FATE_COMMITMENT	15		Rejected!	
GOBP_ENDODERMAL_CELL_FATE_SPECIFICATION	8		Rejected!	
GOBP_FORMATION_OF_TRANSLATION_PREINITIATION_COMPLEX	12		Rejected!	
GOBP_FORMATION_OF_CYTOPLASMIC_TRANSLATION_INITIATION_COMPLEX	16		Rejected!	
GOBP_MORPHOGENESIS_OF_A_POLARIZED_EPITHELIUM	98		Rejected!	
GOBP_EYE_PHOTORECEPTOR_CELL_DIFFERENTIATION	48		Rejected!	
GOBP_SOMITOGENESIS	66		Rejected!	
GOBP_SOMITE_SPECIFICATION	5		Rejected!	
GOBP_ORGAN_INDUCTION	24		Rejected!	
GOBP_MORPHOGENESIS_OF_A_BRANCHING_STRUCTURE	203		Rejected!	
GOBP_NEURON_MIGRATION	177		Rejected!	
GOBP_MEMBRANE_RAFT_ASSEMBLY	10		Rejected!	
GOBP_ESTABLISHMENT_OF_LYMPHOCYTE_POLARITY	16		Rejected!	
GOBP_IMMUNOLOGICAL_SYNAPSE_FORMATION	16		Rejected!	
GOBP_MYELOID_DENDRITIC_CELL_ACTIVATION	29		Rejected!	
GOBP_CELL_ACTIVATION	1150	20		
GOBP_LEUKOCYTE_HOMEOSTASIS	100		Rejected!	
GOBP_PLASMA_MEMBRANE_REPAIR	30		Rejected!	
GOBP_NATURAL_KILLER_CELL_DIFFERENTIATION	25		Rejected!	
GOBP_NEUTROPHIL_HOMEOSTASIS	20		Rejected!	
GOBP_NEUTROPHIL_APOPTOTIC_PROCESS	8		Rejected!	
GOBP_B_CELL_HOMEOSTASIS	33		Rejected!	
GOBP_B_CELL_APOPTOTIC_PROCESS	27		Rejected!	
GOBP_NATURAL_KILLER_CELL_PROLIFERATION	15		Rejected!	
